Category,Unit,2016,2017,2018,2019,2020
Foreign Direct Investment Inflows,AFN million,"6,351.6","3,632.0","8,609.6","3,076.4","1,112.4"
Foreign Direct Investment Inflows,AMD million,"160,354.9","121,130.5","122,749.5","123,616.5","58,889.1"
Foreign Direct Investment Inflows,AZN million,"7,180.8","4,937.3","2,385.1","2,556.6",862.0
Foreign Direct Investment Inflows,BDT million,"183,044.1","173,066.2","301,603.7","242,694.3","221,440.0"
Foreign Direct Investment Inflows,BTN million,"-2,280.5",-611.2,446.2,190.8,185.3
Foreign Direct Investment Inflows,BND million,-206.7,635.3,515.8,374.2,799.8
Foreign Direct Investment Inflows,KHR million,"10,035,678.1","11,268,428.3","12,974,208.3","14,838,422.8","14,826,167.1"
Foreign Direct Investment Inflows,CNY million,"888,435.0","921,347.8","915,020.0","975,636.7","1,042,931.9"
Foreign Direct Investment Inflows,FJD million,816.6,798.2,983.1,680.8,535.4
Foreign Direct Investment Inflows,XPF million,"6,643.5","8,394.5","6,412.4","2,706.1","5,965.6"
Foreign Direct Investment Inflows,HKD million,"911,187.5","862,594.4","817,115.5","577,617.7","924,781.3"
Foreign Direct Investment Inflows,INR million,"2,990,878.9","2,598,593.9","2,883,624.7","3,560,346.7","4,731,883.1"
Foreign Direct Investment Inflows,IDR million,"52,171,286.8","275,360,910.5","292,787,191.7","337,927,567.2","269,608,088.8"
Foreign Direct Investment Inflows,JPY million,"2,106,103.9","1,049,429.2","1,022,064.9","1,586,350.5","1,103,493.4"
Foreign Direct Investment Inflows,KZT million,"2,912,291.2","1,522,147.1","1,250,554.2","1,099,911.0","1,603,328.7"
Foreign Direct Investment Inflows,AUD million,2.4,1.0,-1.5,-0.8,-0.5
Foreign Direct Investment Inflows,KGS million,"43,067.1","-7,368.7","9,913.0","28,639.1","-25,799.8"
Foreign Direct Investment Inflows,LAK million,"7,603,076.2","13,906,588.1","11,094,309.4","4,841,689.4","8,614,869.7"
Foreign Direct Investment Inflows,MOP million,"15,661.5","10,070.2","20,163.3","53,998.4","28,074.7"
Foreign Direct Investment Inflows,MYR million,"47,014.5","40,425.2","30,743.0","32,364.2","14,742.4"
Foreign Direct Investment Inflows,MVR million,"7,017.8","7,044.3","8,859.9","14,715.9","5,361.3"
Foreign Direct Investment Inflows,MNT million,"-8,895,915.6","3,645,881.1","5,374,540.0","6,342,213.0","4,652,364.9"
Foreign Direct Investment Inflows,MMK million,"3,702,840.5","5,875,995.7","5,079,679.7","4,210,852.3","2,801,577.4"
Foreign Direct Investment Inflows,NPR million,"11,418.3","20,607.1","7,338.9","20,843.9","14,949.2"
Foreign Direct Investment Inflows,XPF million,"44,686.2","43,435.7","25,259.6","70,555.3","47,455.6"
Foreign Direct Investment Inflows,KPW million,"9,624.3","-1,382.6",223.8,"3,494.7",760.3
Foreign Direct Investment Inflows,PKR million,"269,613.9","262,891.3","210,966.4","334,693.7","341,681.0"
Foreign Direct Investment Inflows,PGK million,-124.6,-574.5,"-1,118.8","-3,061.3","-3,255.4"
Foreign Direct Investment Inflows,PHP million,"328,420.5","438,703.1","347,723.6","449,551.5","336,290.2"
Foreign Direct Investment Inflows,WST million,6.5,23.2,43.3,-5.6,-2.1
Foreign Direct Investment Inflows,SGD million,"97,013.5","116,924.1","102,582.6","155,588.4","125,441.3"
Foreign Direct Investment Inflows,SBD million,306.9,337.9,197.5,265.3,73.8
Foreign Direct Investment Inflows,KRW million,"14,046,850.4","20,261,964.1","13,404,246.7","11,227,320.6","11,092,116.1"
Foreign Direct Investment Inflows,LKR million,"130,593.9","209,268.0","262,207.5","135,495.5","81,551.3"
Foreign Direct Investment Inflows,TWD million,"313,301.5","103,536.1","214,579.1","254,839.7","266,557.0"
Foreign Direct Investment Inflows,TJS million,"2,706.5","2,625.0","3,290.9","2,027.7","1,069.3"
Foreign Direct Investment Inflows,THB million,"87,925.4","267,288.8","360,100.0","95,112.7","-192,053.4"
Foreign Direct Investment Inflows,TOP million,19.6,30.4,33.7,29.2,-1.1
Foreign Direct Investment Inflows,TMT million,"7,851.1","7,300.8","6,990.5","7,453.0","4,093.0"
Foreign Direct Investment Inflows,AUD million,0.4,0.4,0.4,0.4,0.2
Foreign Direct Investment Inflows,UZS million,"4,934,901.1","9,287,366.2","5,041,732.6","20,487,121.5","16,812,289.7"
Foreign Direct Investment Inflows,VUV million,"4,766.3","4,124.0","4,128.1","4,002.8","3,368.0"
Foreign Direct Investment Inflows,VND million,"277,047,015.0","315,395,262.5","350,389,770.8","371,578,761.7","368,877,967.5"
Foreign Direct Investment Inflows,AUD million,"65,496.1","59,018.0","91,633.6","56,442.2","30,351.0"
Foreign Direct Investment Inflows,NZD million,"4,085.9","3,417.9","3,465.1","6,494.0","6,643.4"
Foreign Direct Investment Inflows,ALL million,"136,638.4","136,832.6","139,272.6","142,463.6","123,071.7"
Foreign Direct Investment Inflows,BYN million,"2,461.2","2,470.0","2,895.2","2,704.9","3,263.3"
Foreign Direct Investment Inflows,BAM million,618.4,853.6,951.6,699.0,651.2
Foreign Direct Investment Inflows,BGN million,"1,839.3","3,147.8","1,893.2","2,999.9","4,260.2"
Foreign Direct Investment Inflows,HRK million,"1,859.6","3,574.9","7,355.6","8,846.7","8,784.2"
Foreign Direct Investment Inflows,CZK million,"239,864.8","222,585.2","239,258.9","231,808.5","147,382.6"
Foreign Direct Investment Inflows,EUR million,957.7,"1,723.5","1,268.8","2,761.4","2,833.7"
Foreign Direct Investment Inflows,GEL million,"3,911.2","4,963.7","3,310.3","3,694.0","1,866.9"
Foreign Direct Investment Inflows,HuF million,"-1,531,078.3","964,604.2","1,732,127.6","1,128,944.6","1,279,964.5"
Foreign Direct Investment Inflows,EUR million,220.1,256.0,272.2,254.6,350.4
Foreign Direct Investment Inflows,EUR million,230.2,628.5,819.4,781.0,783.5
Foreign Direct Investment Inflows,EUR million,273.6,905.7,827.4,"1,044.7",429.8
Foreign Direct Investment Inflows,MDL million,"1,677.2","2,804.3","4,907.4","8,922.3","1,011.8"
Foreign Direct Investment Inflows,EUR million,204.7,495.6,414.9,372.6,474.9
Foreign Direct Investment Inflows,MKD million,"20,858.4","11,229.9","37,788.2","24,528.5","15,173.8"
Foreign Direct Investment Inflows,PLN million,"61,886.7","34,652.1","57,759.2","41,669.3","39,510.4"
Foreign Direct Investment Inflows,RON million,"20,297.5","21,962.3","24,512.6","24,542.0","9,965.8"
Foreign Direct Investment Inflows,RUB million,"2,495,531.8","1,513,231.8","829,401.2","2,074,268.9","697,066.7"
Foreign Direct Investment Inflows,RSD million,"261,727.3","310,161.4","409,766.7","449,395.9","365,107.0"
Foreign Direct Investment Inflows,EUR million,728.6,"3,564.1","1,419.1","2,187.4","-1,732.7"
Foreign Direct Investment Inflows,EUR million,"1,126.4",796.6,"1,172.6","1,095.7",475.1
Foreign Direct Investment Inflows,UAH million,"97,384.4","98,194.7","121,177.4","151,406.6","-23,043.8"
Foreign Direct Investment Inflows,XCD million,162.7,144.5,150.6,337.7,71.0
Foreign Direct Investment Inflows,XCD million,217.7,304.9,314.5,376.6,60.4
Foreign Direct Investment Inflows,ARS million,"48,185.2","190,719.6","333,774.9","321,544.8","315,577.0"
Foreign Direct Investment Inflows,AWG million,49.3,157.3,197.2,-238.6,203.5
Foreign Direct Investment Inflows,BSD million,"1,259.5",901.4,947.4,611.0,896.8
Foreign Direct Investment Inflows,BBD million,538.7,412.3,483.2,430.7,524.2
Foreign Direct Investment Inflows,BZD million,88.0,49.0,236.6,187.8,152.4
Foreign Direct Investment Inflows,BMD million,82.0,-288.1,95.4,4.4,114.3
Foreign Direct Investment Inflows,BOB million,"2,317.4","4,923.2","2,089.4","-1,497.0","-7,242.0"
Foreign Direct Investment Inflows,BRL million,"187,511.3","212,365.1","218,481.3","257,867.1","124,434.8"
Foreign Direct Investment Inflows,USD million,"49,022.9","39,610.0","34,389.7","39,103.4","39,619.6"
Foreign Direct Investment Inflows,KYD million,"47,052.5","12,138.7","16,544.6","22,532.1","18,896.8"
Foreign Direct Investment Inflows,CLP million,"8,169,928.6","4,024,751.4","4,965,070.4","8,804,066.3","6,900,569.5"
Foreign Direct Investment Inflows,COP million,"42,293,476.9","40,831,260.3","34,094,399.6","46,960,480.3","28,547,420.9"
Foreign Direct Investment Inflows,CRC million,"1,200,577.4","1,576,891.6","1,348,253.8","1,614,067.7","985,409.3"
Foreign Direct Investment Inflows,ANG million,238.2,309.1,227.1,100.1,293.9
Foreign Direct Investment Inflows,XCD million,111.1,-5.7,-100.4,87.9,68.1
Foreign Direct Investment Inflows,DOP million,"110,757.2","169,553.8","125,415.7","154,804.7","138,828.6"
Foreign Direct Investment Inflows,USD million,756.0,624.5,"1,388.2",961.5,"1,016.9"
Foreign Direct Investment Inflows,USD million,347.4,889.1,826.0,636.2,200.5
Foreign Direct Investment Inflows,XCD million,256.2,301.5,342.9,353.8,394.5
Foreign Direct Investment Inflows,GTQ million,"8,928.0","8,306.9","7,372.8","7,503.9","7,082.4"
Foreign Direct Investment Inflows,GYD million,"11,976.8","43,809.3","255,711.7","352,495.6","383,557.3"
Foreign Direct Investment Inflows,HTG million,"6,643.9","24,279.6","7,143.3","6,576.5","3,157.7"
Foreign Direct Investment Inflows,HNL million,"26,200.4","27,809.4","23,138.5","12,293.2","10,553.1"
Foreign Direct Investment Inflows,JMD million,"114,559.1","113,637.6","99,836.8","86,903.4","48,833.3"
Foreign Direct Investment Inflows,EUR million,-,-,-,-,-
Foreign Direct Investment Inflows,MXN million,"580,714.2","645,256.7","649,257.8","656,564.4","648,461.0"
Foreign Direct Investment Inflows,NIO million,"28,309.0","31,114.7","26,429.0","16,668.6","6,343.5"
Foreign Direct Investment Inflows,PAB million,"4,745.4","4,176.6","5,080.4","4,320.4",588.7
Foreign Direct Investment Inflows,PYG million,"2,411,911.7","3,237,524.8","2,622,292.0","3,259,755.3","3,707,484.1"
Foreign Direct Investment Inflows,PEN million,"22,744.7","22,368.6","22,897.8","26,878.1","3,398.0"
Foreign Direct Investment Inflows,ANG million,97.9,115.0,-352.0,105.5,45.3
Foreign Direct Investment Inflows,XCD million,253.2,137.5,229.1,249.1,127.1
Foreign Direct Investment Inflows,XCD million,349.2,353.8,364.9,82.7,40.3
Foreign Direct Investment Inflows,XCD million,413.3,265.0,271.3,305.3,196.8
Foreign Direct Investment Inflows,SRD million,"1,868.5",735.3,889.5,-147.2,-209.6
Foreign Direct Investment Inflows,TTD million,-157.4,"-3,192.5","-4,740.7","1,245.7","-2,970.5"
Foreign Direct Investment Inflows,UYU million,"-54,976.3","-17,213.2","5,019.3","64,740.5","111,328.2"
Foreign Direct Investment Inflows,VES million,5.0,-9.4,"43,007.9","12,625,390.0","1,293,951,552.7"
Foreign Direct Investment Inflows,DZD million,"179,101.8","136,778.1","170,970.8","164,938.2","142,792.2"
Foreign Direct Investment Inflows,AOA million,"-29,379.2","-1,227,329.3","-1,632,456.0","-1,495,228.9","-1,010,460.1"
Foreign Direct Investment Inflows,BHD million,91.5,536.3,622.1,564.6,378.6
Foreign Direct Investment Inflows,XOF million,"78,161.5","116,953.7","107,867.4","127,884.7","103,598.6"
Foreign Direct Investment Inflows,BWP million,"1,553.7","2,696.3","2,916.7","1,002.7",905.8
Foreign Direct Investment Inflows,XOF million,"231,667.4","1,497.7","149,186.7","95,511.2","87,511.8"
Foreign Direct Investment Inflows,BIF million,91.8,547.2,"1,753.9","1,957.8","11,929.7"
Foreign Direct Investment Inflows,CVE million,"12,435.1","10,847.1","10,257.8","10,494.5","7,243.7"
Foreign Direct Investment Inflows,XAF million,"393,365.1","473,784.6","423,195.6","601,717.6","287,553.0"
Foreign Direct Investment Inflows,XAF million,"4,303.4","4,010.2","10,006.5","15,004.0","20,469.0"
Foreign Direct Investment Inflows,XAF million,"145,114.4","211,539.4","256,165.8","332,089.0","328,527.8"
Foreign Direct Investment Inflows,KMF million,"1,587.5","1,710.9","2,364.0","1,616.0","3,779.1"
Foreign Direct Investment Inflows,CDF million,"1,217,120.4","1,962,618.9","2,623,287.7","2,508,636.7","2,870,973.4"
Foreign Direct Investment Inflows,XAF million,"955,807.3","2,571,290.6","2,398,443.2","1,972,754.9","2,365,486.2"
Foreign Direct Investment Inflows,XOF million,"342,449.9","567,501.2","344,719.8","548,261.3","299,510.1"
Foreign Direct Investment Inflows,DJF million,"28,435.0","29,324.0","30,213.0","39,454.1","42,653.0"
Foreign Direct Investment Inflows,EGP million,"81,022.1","132,058.5","145,058.5","151,523.0","95,088.4"
Foreign Direct Investment Inflows,XAF million,"32,025.2","177,452.5","220,142.5","265,071.0","312,152.6"
Foreign Direct Investment Inflows,ERN million,804.2,852.8,938.1,"1,031.9","1,135.1"
Foreign Direct Investment Inflows,SZL million,314.6,-746.8,483.0,"1,881.8",677.0
Foreign Direct Investment Inflows,ETB million,"90,032.4","96,110.6","91,459.3","74,627.0","78,593.6"
Foreign Direct Investment Inflows,XAF million,"737,581.3","764,950.6","766,496.1","910,243.9","1,011,169.8"
Foreign Direct Investment Inflows,GMD million,"-1,215.6",859.7,"2,501.0","2,209.6","2,388.1"
Foreign Direct Investment Inflows,GHS million,"13,626.8","14,161.3","13,711.0","20,238.2","10,607.0"
Foreign Direct Investment Inflows,GNF million,"14,500,828.0","5,249,322.5","3,178,767.7","417,798.9","3,196,288.6"
Foreign Direct Investment Inflows,XOF million,"14,232.9","9,134.5","11,429.5","41,996.9","12,023.4"
Foreign Direct Investment Inflows,IRR million,"104,250,422.1","166,785,583.9","96,971,052.7","63,336,000.0","64,386,506.1"
Foreign Direct Investment Inflows,IQD million,"-7,394,473.8","-5,957,522.9","-5,777,852.0","-3,635,359.2","-3,422,481.0"
Foreign Direct Investment Inflows,ILS million,"46,041.3","60,812.0","77,336.3","67,893.8","86,787.4"
Foreign Direct Investment Inflows,JOD million,"1,101.0","1,439.1",677.0,517.4,514.8
Foreign Direct Investment Inflows,KES million,"115,574.6","145,210.7","115,427.2","112,024.8","74,637.5"
Foreign Direct Investment Inflows,KWD million,126.5,106.0,61.6,31.7,-97.5
Foreign Direct Investment Inflows,LBP million,"3,871,991.2","3,802,532.6","4,006,940.8","3,097,278.7","4,623,571.2"
Foreign Direct Investment Inflows,LSL million,"2,341.8","1,641.3","1,704.1","1,699.4","1,687.7"
Foreign Direct Investment Inflows,LRD million,"39,879.8","26,023.2","18,078.2","15,174.8","18,554.9"
Foreign Direct Investment Inflows,MGA million,"1,431,432.0","1,115,138.0","1,175,672.3","1,709,995.9","1,332,312.3"
Foreign Direct Investment Inflows,MWK million,"83,359.8","65,870.4","702,597.4","619,732.2","78,029.0"
Foreign Direct Investment Inflows,XOF million,"211,416.6","327,866.8","259,725.7","422,343.4","181,498.0"
Foreign Direct Investment Inflows,MRU million,"9,556.2","21,020.0","27,574.8","32,822.9","37,758.7"
Foreign Direct Investment Inflows,MUR million,"13,462.0","16,550.9","15,627.2","16,606.0","8,951.9"
Foreign Direct Investment Inflows,MAD million,"21,153.9","26,078.9","33,398.8","16,540.6","17,098.5"
Foreign Direct Investment Inflows,MZN million,"195,058.2","145,805.2","163,063.6","137,397.5","150,303.7"
Foreign Direct Investment Inflows,NAD million,"5,230.6","3,732.6","2,761.5","-2,585.6","-1,234.4"
Foreign Direct Investment Inflows,XOF million,"178,712.2","197,177.4","259,029.2","420,297.3","216,072.4"
Foreign Direct Investment Inflows,NGN million,"873,647.2","736,752.9","236,902.8","706,338.3","830,153.1"
Foreign Direct Investment Inflows,OMR million,871.0,"1,122.0","2,284.0","1,315.0","1,573.7"
Foreign Direct Investment Inflows,QAR million,"2,817.0","3,589.0","-7,958.0","-10,238.0","-8,859.5"
Foreign Direct Investment Inflows,RWF million,"269,476.2","296,387.9","328,861.6","319,228.3","127,523.5"
Foreign Direct Investment Inflows,STN million,677.9,634.4,481.6,529.4,"1,036.4"
Foreign Direct Investment Inflows,SAR million,"27,947.0","5,320.7","15,926.7","17,109.7","20,572.9"
Foreign Direct Investment Inflows,XOF million,"280,173.5","342,469.6","471,235.6","624,433.7","872,139.6"
Foreign Direct Investment Inflows,SCR million,"2,067.6","2,619.7","1,662.7","2,008.7","1,827.3"
Foreign Direct Investment Inflows,SLL million,"867,796.2","951,731.1","1,727,611.9","3,303,849.9","3,462,266.6"
Foreign Direct Investment Inflows,SOS million,"7,610,388.8","8,523,157.3","9,914,400.0","11,247,760.8","11,928,057.5"
Foreign Direct Investment Inflows,ZAR million,"32,876.0","26,777.9","72,157.1","74,061.0","51,396.3"
Foreign Direct Investment Inflows,SSP million,-366.8,161.4,"8,502.9","-51,009.3","5,142.3"
Foreign Direct Investment Inflows,SDG million,"7,181.9","11,368.9","27,632.5","37,141.0","47,248.2"
Foreign Direct Investment Inflows,TZS million,"1,890,750.9","2,100,452.9","2,210,591.5","2,278,074.8","2,359,521.2"
Foreign Direct Investment Inflows,XOF million,"-27,464.2","51,554.5","-101,928.0","202,602.0","376,709.5"
Foreign Direct Investment Inflows,TND million,"1,900.0","2,137.8","2,739.9","2,476.2","1,945.2"
Foreign Direct Investment Inflows,UGX million,"2,139,970.2","2,898,744.8","3,933,377.4","4,663,012.8","3,128,051.7"
Foreign Direct Investment Inflows,AED million,"35,273.5","38,025.9","38,140.0","65,644.7","73,025.7"
Foreign Direct Investment Inflows,YER million,"-120,553.3","-57,988.1","-79,854.6","-120,565.6",-
Foreign Direct Investment Inflows,ZMW million,"6,836.5","10,542.8","4,271.5","7,173.9","3,507.5"
Foreign Direct Investment Inflows,USD million,371.8,349.4,744.6,280.0,194.4
Foreign Direct Investment Inflows,CAD million,"47,788.4","29,545.4","49,549.7","63,476.0","32,378.8"
Foreign Direct Investment Inflows,USD million,"459,419.0","295,296.0","223,401.0","261,412.0","156,321.0"
Foreign Direct Investment Inflows,EUR million,"-7,691.8","13,267.8","4,479.2",864.3,"-15,569.0"
Foreign Direct Investment Inflows,EUR million,"53,557.4",-628.5,"26,110.0","2,578.0","7,575.8"
Foreign Direct Investment Inflows,EUR million,"9,878.5","8,360.5","-1,470.0","23,388.5","-3,274.3"
Foreign Direct Investment Inflows,DKK million,"1,584.1","24,745.0","7,568.0","23,924.0","7,721.6"
Foreign Direct Investment Inflows,EUR million,"7,758.6","2,541.4","-1,839.4","12,159.2","2,311.8"
Foreign Direct Investment Inflows,EUR million,"20,862.6","22,033.9","32,348.8","30,340.4","16,101.3"
Foreign Direct Investment Inflows,EUR million,"14,132.9","43,159.4","52,585.8","48,293.8","32,010.5"
Foreign Direct Investment Inflows,EUR million,"2,499.8","3,092.1","3,366.0","4,483.7","3,207.3"
Foreign Direct Investment Inflows,ISK million,"-51,616.0","-4,423.0","-41,313.0","-36,945.9","-101,662.1"
Foreign Direct Investment Inflows,EUR million,"35,631.2","46,880.3","-13,636.2","72,449.0","30,010.9"
Foreign Direct Investment Inflows,EUR million,"25,736.5","21,336.9","31,922.9","16,209.2",-348.7
Foreign Direct Investment Inflows,EUR million,"28,835.6","-6,047.1","-14,195.2","13,212.8","55,797.2"
Foreign Direct Investment Inflows,EUR million,"3,840.3","3,023.2","3,408.6","3,379.8","3,517.0"
Foreign Direct Investment Inflows,EUR million,"54,001.7","14,691.6","74,271.0","43,737.8","-103,526.2"
Foreign Direct Investment Inflows,NOK million,"-32,764.4","-48,378.4","1,836.1","143,333.9","-23,088.7"
Foreign Direct Investment Inflows,EUR million,"4,579.7","6,878.5","6,027.8","10,794.9","5,677.8"
Foreign Direct Investment Inflows,EUR million,"28,539.8","37,236.6","45,318.8","7,606.1","8,016.7"
Foreign Direct Investment Inflows,SEK million,"163,819.7","135,888.8","36,688.6","95,637.5","251,828.6"
Foreign Direct Investment Inflows,CHF million,"148,263.1","109,033.3","-66,652.0","-78,570.3","-45,410.3"
Foreign Direct Investment Inflows,TRY million,"41,303.5","40,008.8","62,170.3","52,752.5","51,412.2"
Foreign Direct Investment Inflows,GBP million,"191,684.9","74,814.7","48,953.9","35,616.5","15,433.4"
